contig_name,length,prop_gc,gc_skew,at_skew,cpg_count,cpg_ratio,orf_length,linguistic_complexity_6,has_crb,reference_coverage,hits
TRINITY_DN0_c0_g1_i1,562,0.437722,-0.073171,0.044304,46,1.717969,79,0.119629,true,0.946789,N00127
TRINITY_DN0_c0_g1_i10,555,0.430631,-0.037657,0.044304,42,1.634642,77,0.116699,true,0.918812,N00131
TRINITY_DN0_c0_g1_i11,547,0.438757,-0.05,0.016287,46,1.75174,81,0.117676,true,0.957692,N00125
TRINITY_DN0_c0_g1_i12,654,0.46789,-0.071895,-0.051724,65,1.825404,81,0.144043,true,0.857692,N00125
TRINITY_DN0_c0_g1_i14,325,0.470769,0.03268,0.011628,27,1.501026,74,0.075195,true,0.975904,N01220
TRINITY_DN0_c0_g1_i2,236,0.487288,-0.2,0.041322,24,1.784499,42,0.053223,false,NA,NA
TRINITY_DN0_c0_g1_i4,271,0.472325,0.015625,0.034965,25,1.654457,65,0.060059,false,NA,NA
TRINITY_DN0_c0_g1_i6,447,0.467562,-0.052632,-0.008403,42,1.723967,77,0.100586,true,0.982935,N00110
TRINITY_DN0_c0_g1_i7,555,0.41982,-0.030043,0.093168,37,1.514381,76,0.119385,true,0.94012,N02304
TRINITY_DN0_c0_g1_i8,232,0.469828,-0.119266,0.056911,19,1.505464,40,0.050781,true,0.413479,N01002
TRINITY_DN0_c0_g1_i9,547,0.42596,-0.038627,0.089172,39,1.574159,76,0.11792,true,0.721284,N02308
TRINITY_DN0_c1_g1_i1,447,0.395973,0.00565,-0.088889,32,1.826353,75,0.098389,true,0.864807,N02365
TRINITY_DN9_c0_g1_i1,243,0.45679,-0.081081,0.0,24,1.905882,80,0.054932,false,NA,NA
TRINITY_DN9_c0_g1_i3,209,0.464115,-0.010309,-0.071429,19,1.68835,68,0.048096,false,NA,NA
TRINITY_DN9_c0_g1_i4,496,0.387097,0.15625,-0.151316,34,1.875653,82,0.099121,true,0.197105,N02543
TRINITY_DN9_c0_g1_i5,502,0.396414,0.085427,-0.09571,38,1.940985,82,0.106934,true,0.186037,N02543
TRINITY_DN9_c0_g2_i1,397,0.420655,0.005988,-0.156522,35,1.992972,74,0.086426,true,0.168157,N02543
TRINITY_DN9_c0_g3_i1,312,0.471154,0.020408,-0.018182,32,1.848889,73,0.070313,true,0.600386,N00121
TRINITY_DN9_c0_g3_i2,287,0.473868,0.029412,-0.033113,31,1.925758,73,0.06543,false,NA,NA
TRINITY_DN9_c0_g3_i4,283,0.484099,-0.051095,0.013699,32,1.935043,71,0.064209,true,0.99537,N01855
TRINITY_DN9_c0_g4_i1,261,0.409962,0.214953,-0.142857,19,1.816484,38,0.051758,false,NA,NA
TRINITY_DN9_c1_g1_i1,281,0.455516,-0.171875,-0.019608,21,1.484528,92,0.064697,true,0.943723,N02596
TRINITY_DN9_c1_g1_i2,340,0.461765,-0.095541,-0.027322,22,1.225025,108,0.078125,true,0.918033,N00107
TRINITY_DN9_c1_g1_i3,343,0.45481,-0.089744,-0.048128,23,1.307208,94,0.078369,false,NA,NA
TRINITY_DN9_c1_g1_i4,340,0.458824,-0.089744,-0.032609,23,1.295775,93,0.078125,true,0.944262,N00106
TRINITY_DN9_c4_g1_i1,227,0.475771,-0.185185,-0.109244,18,1.450994,69,0.051758,false,NA,NA
TRINITY_DN9_c5_g1_i1,280,0.453571,-0.070866,0.03268,23,1.605184,73,0.063721,false,NA,NA
TRINITY_DN3_c0_g1_i1,398,0.444724,-0.028249,-0.095023,27,1.373115,70,0.089111,true,0.9511,N02349
TRINITY_DN14_c0_g1_i1,222,0.445946,0.313131,0.02439,18,1.808145,73,0.048584,true,1.0,N02734
TRINITY_DN15_c0_g1_i1,210,0.466667,-0.142857,0.071429,17,1.517857,48,0.048096,false,NA,NA
TRINITY_DN1_c0_g1_i1,1176,0.421769,-0.064516,0.144118,88,1.689655,58,0.233643,true,0.307612,N02515
TRINITY_DN1_c0_g2_i1,631,0.529319,-0.083832,-0.003367,68,1.549417,86,0.111816,true,0.697701,N01005
