contig_name,length,prop_gc,gc_skew,at_skew,cpg_count,cpg_ratio,orf_length,linguistic_complexity_6,has_crb,reference_coverage,hits
TRINITY_DN0_c0_g1_i1,349,0.518625,-0.060773,-0.011905,42,1.796324,115,0.079102,false,NA,NA
TRINITY_DN0_c0_g1_i10,347,0.492795,-0.02924,0.0,38,1.805312,115,0.079834,true,0.968927,N02892
TRINITY_DN0_c0_g1_i11,349,0.510029,-0.044944,0.017544,41,1.81012,115,0.080322,true,0.988506,N02882
TRINITY_DN0_c0_g1_i12,371,0.504043,-0.112299,-0.065217,39,1.676205,123,0.083008,true,0.983871,N02852
TRINITY_DN0_c0_g1_i13,394,0.515228,-0.034483,-0.026178,42,1.608163,130,0.087646,true,0.982323,N02897
TRINITY_DN0_c0_g1_i2,347,0.504323,-0.028571,-0.034884,36,1.632941,115,0.078369,true,0.985632,N02962
TRINITY_DN0_c0_g1_i3,385,0.514286,-0.090909,0.048128,39,1.544753,127,0.084717,true,0.992248,N02900
TRINITY_DN0_c0_g1_i4,347,0.498559,-0.028902,0.011494,38,1.763777,115,0.07959,true,0.974576,N02892
TRINITY_DN0_c0_g1_i8,342,0.479532,-0.02439,0.033708,31,1.577679,113,0.077637,true,0.94152,N02889
TRINITY_DN0_c0_g1_i9,280,0.528571,-0.067568,-0.090909,40,2.054669,93,0.062012,true,0.697201,N02894
TRINITY_DN0_c0_g2_i1,273,0.509158,-0.035971,-0.134328,32,1.810945,90,0.060791,true,0.687023,N02887
TRINITY_DN3_c0_g1_i1,433,0.600462,0.153846,0.052023,76,1.994424,143,0.094238,true,0.95585,N02895
TRINITY_DN1_c0_g1_i1,418,0.636364,-0.067669,0.0,81,1.922876,138,0.090332,true,0.98818,N02896
TRINITY_DN2_c0_g1_i1,379,0.509235,-0.025907,0.043011,36,1.466151,126,0.083984,true,0.986979,N02903
