contig_name,length,prop_gc,gc_skew,at_skew,cpg_count,cpg_ratio,orf_length,linguistic_complexity_6,has_crb,reference_coverage,hits
TRINITY_DN0_c0_g1_i1,263,0.536122,-0.106383,0.04918,30,1.605617,87,0.061279,true,0.996212,N01764
TRINITY_DN0_c0_g2_i1,562,0.425267,0.020921,0.120743,42,1.653636,89,0.118896,false,NA,NA
TRINITY_DN0_c0_g3_i1,258,0.492248,-0.102362,0.129771,28,1.810526,85,0.060059,true,0.996124,N03052
TRINITY_DN0_c0_g4_i1,338,0.449704,-0.039474,-0.053763,31,1.816889,88,0.07666,true,0.997041,N02462
TRINITY_DN0_c0_g5_i1,621,0.388084,-0.095436,0.073684,44,1.899083,62,0.126953,true,0.251263,N02512
TRINITY_DN0_c0_g6_i1,260,0.476923,-0.048387,-0.044118,21,1.423729,86,0.061035,true,0.98062,N02723
TRINITY_DN0_c0_g6_i2,278,0.460432,-0.109375,0.0,26,1.786014,92,0.065674,true,0.996416,N01767
TRINITY_DN3_c0_g1_i1,532,0.458647,-0.155738,0.111111,34,1.245473,71,0.106689,false,NA,NA
TRINITY_DN1_c0_g1_i1,420,0.416667,-0.12,-0.053061,46,2.560297,77,0.092285,true,0.960227,N02352
TRINITY_DN1_c0_g1_i2,459,0.43573,-0.07,-0.104247,45,2.075671,91,0.098633,true,0.954048,N01264
